Repeat,Mora,Sveg,Falköping,Boden,Gällivare,Sundsvall,Uppsala,Sala,Storvik,Östersund,Emmaboda,Uddevalla,Helsingborg,Hallsberg,Skövde,Norrköping,Alvesta,Lund,Hässleholm,Fagersta,Katrineholm,Värnamo,Södertälje,Strömstad,Herrljunga,Umeå,Arboga,Jönköping,Ånge,Eskilstuna,Gävle,Kiruna,Luleå,Örebro,Västerås,Åstorp,Göteborg,Mjölby,Nässjö,Borlänge,Kalmar,Stockholm,Kristianstad,Varberg,Malmö,Linköping,Trollhättan,Avesta,Frövi,Karlskrona,Ludvika,Halmstad
13,1577200,7356937,28636,117944412,221708624,4043016,88700,122994,234184,4636822,15826617,162246,481429,17531,38064,15785,2374,1397,1955,96314,15156,378201,14807,435403,31499,30989095,35830,49030,2122536,29055,341673,286415804,172813196,23258,31010,208831,52732,4680,2863,274344,15196282,19975,16760981,87094,1396,4260,108746,295367,44700,17006899,213162,157357
14,1233851,6852808,28636,119276183,218389604,3927774,85838,138289,237257,4472552,15266754,161059,343140,19068,37156,10407,2375,1397,1397,90586,14807,543869,14318,604982,31429,30652520,34782,47354,2120511,29543,237257,296439636,152298980,36808,31011,224755,53011,4260,2305,268687,15714380,20394,16000807,87304,1467,4330,112658,171535,44421,15739523,215746,133540
15,1260810,7344505,28636,117675655,216322803,4133183,87234,112657,226152,4939733,15629520,156099,380436,18718,36807,10546,2794,1467,1466,90447,13410,383579,15715,551133,29823,31287535,33804,47703,2335768,29334,201777,289168815,150871104,23328,31010,654571,100086,4330,3771,249690,15873762,21581,16043132,85767,1467,4400,112378,155750,41906,15815582,186691,132004
16,1482283,7096352,30521,118210795,214025868,4069626,85418,111051,222590,4547353,16035937,161058,462991,19975,36738,10057,2374,1467,978,93031,16623,380087,14388,506364,30102,29803227,28566,48262,2255029,30312,169928,285420538,141712980,22769,31080,373032,161687,5238,3352,248642,15279396,21023,17978767,85558,978,5168,106511,150582,43512,15614783,169090,297183
17,1289237,7249099,29613,118619517,217409284,4267562,97710,110353,230413,4587025,15826617,160709,429676,17600,36109,10895,2864,1466,1886,90097,13969,390075,14109,444972,29683,31326577,32408,48541,2061912,30033,175376,283541685,138705809,23328,32896,366188,69215,4679,3352,256883,15417686,20534,15219819,90517,908,5238,253321,159731,45677,15650403,185434,175586
18,1691953,6495630,29334,121525415,219017774,4289004,79063,113007,452165,4726082,15450092,162735,337273,17810,34782,10127,2934,978,908,88910,12711,605821,14528,567826,30033,30852482,27938,46935,2075322,24235,175516,283401860,137642096,23048,31499,364442,62999,4819,4330,250737,15119246,20394,15859514,220635,978,5657,226641,153725,43093,16260484,180964,167694
19,1319758,6975523,29055,143071844,217253534,4420239,72916,123902,232020,4921503,15708791,163643,516421,18368,37366,9499,2934,1466,1397,89679,16343,567756,14109,452514,30033,31020665,28147,47493,2177433,23746,171674,282485516,139251703,22350,31220,356201,73545,5727,3282,247105,15136148,20045,15914690,130537,1467,4400,149604,148347,43373,15199285,178449,162386
20,1443869,6843379,28077,125536512,213405381,4432810,71031,122016,226362,5063984,15770882,158823,312897,18159,35830,10128,2864,1397,1397,89818,13200,380436,14806,441689,30102,31643317,28147,48192,1972373,23467,171325,282516666,137493051,22769,30591,357807,71869,4400,3213,368772,15643070,20673,14966777,155681,1467,5239,144715,142550,43932,15391704,455587,161967
21,1290214,7191269,29055,118102537,218403712,4298013,69983,115800,224686,4884487,15064907,302840,274903,19905,35341,9918,2374,1396,1467,91704,13479,376525,14527,441898,30940,32426399,28146,48611,2204462,23887,169719,289015370,139490218,22419,31010,360112,66840,5658,2794,253601,16125267,20743,15750349,164132,978,5239,150093,121108,45818,15664861,274274,148697
22,1259832,7067577,28077,116535185,224339340,4299899,68935,295647,222800,4863185,15757403,160080,283004,18508,36668,9918,2375,1397,1466,122575,13550,608544,14388,822613,31360,30245614,27658,48122,2147749,25353,195631,282775994,139926389,23398,31010,402577,66142,4261,2863,248642,15353150,20883,15699782,117686,1886,5238,109305,129908,44281,16599154,197307,131794
23,1453158,7070441,28077,119522730,217115314,3995802,69634,203872,223847,4859413,15368096,163084,268128,18229,37227,10616,2863,1466,1467,95895,15785,546733,14248,758707,30801,34222628,29124,47353,2120301,23397,252623,282362592,139307230,21931,30940,691029,81717,5239,2864,247035,15457635,19556,16013099,114123,977,6356,111400,114054,43862,15828015,179287,130747
24,1264582,6821519,29055,118791472,221158959,4093862,68237,205828,222171,4784961,15934874,161757,397198,18578,37716,9498,2444,978,1467,183617,13550,387211,14877,763177,29125,30971216,28147,46934,2185814,23677,319672,282541181,139883436,22908,31499,321069,64885,4889,3353,245639,16648812,20883,15876276,116918,1397,4749,109514,114823,42814,15836676,178100,129350
