57,20,189,1781,10769,19402,28474,21,14,11,14,27,38
58,19,190,1818,10315,20824,28667,21,13,10,14,24,27
59,19,190,1800,10436,19546,29019,20,12,11,15,30,27
60,19,189,1799,10350,19594,28675,19,14,11,16,30,18
61,19,189,1794,10813,19437,28220,19,14,11,14,29,18
62,18,188,1783,10344,19805,31309,21,14,10,14,19,34
63,19,190,1781,10456,19821,28198,19,13,11,17,28,31
64,19,189,1786,11808,19709,28480,20,14,11,13,38,22
65,18,191,1716,10801,19668,28603,19,14,10,12,35,19
66,20,206,1775,10319,19864,28374,19,14,11,12,35,32
67,20,191,1843,10636,19823,29769,17,15,14,14,28,22
68,19,189,1735,10499,19351,28234,20,15,11,15,38,24
69,19,190,1896,10453,19608,28540,20,14,11,11,28,36
70,20,207,1738,11955,19683,31182,21,15,11,21,40,39
71,20,189,1796,10342,19346,28223,20,14,11,12,34,45
72,19,189,1794,11304,20087,28681,20,15,11,12,24,36
73,20,189,1784,10287,19702,30157,20,14,10,12,19,33
74,20,191,1728,10354,19188,29073,20,13,11,12,15,27
75,20,199,1745,10444,19802,29388,21,14,11,12,12,25
76,19,189,1804,10325,19348,29117,20,14,11,12,13,17
77,20,189,2129,10465,20036,29183,19,13,11,12,20,18
78,19,189,1938,10839,19471,29039,20,14,11,12,16,18
79,19,188,1929,10394,19407,28549,20,13,10,16,13,25
80,19,191,1773,10339,19437,28412,19,15,11,13,11,26
81,20,189,1736,10634,19403,28269,21,14,10,17,12,16
82,19,189,1729,10446,19277,28873,20,13,12,14,13,23
83,19,189,1798,10938,19716,28453,20,15,11,13,12,36
84,19,201,1732,10451,19923,29077,45,13,11,13,25,18
85,19,190,1778,10463,19283,29466,20,13,12,25,16,20
86,18,190,1739,10913,20004,28646,20,12,12,22,13,16
87,20,190,1751,10910,19284,28475,20,13,12,14,13,32
88,19,191,1878,10455,19222,28289,19,13,11,14,13,18
89,19,192,1856,11376,19490,28330,20,14,11,14,18,16
90,19,193,1807,10362,19183,28207,20,14,11,13,22,21
91,18,191,1788,10332,19164,28542,20,13,10,14,20,31
92,20,192,1783,10369,20572,28247,19,14,11,14,15,40
93,19,189,1797,10436,19252,28408,21,14,11,14,13,18
94,19,190,1830,10846,19372,28396,21,14,11,14,12,22
95,19,188,1792,10529,20080,28564,20,14,10,14,20,15
96,19,189,1802,11003,19415,28160,20,13,11,14,12,17
97,19,191,1740,10912,19297,28605,19,13,11,14,24,15
98,19,216,1812,11161,19542,28442,19,14,10,14,16,29
99,19,189,1744,11404,20022,28372,20,13,12,14,12,19
"
",,,,,,,,,,,,
