repeat,lookup-100,lookup-1000,lookup-5000,lookup-10000,lookup-50000,lookup-100000,lookup-500000,lookup-1000000,add-100,add-1000,add-5000,add-10000,add-50000,add-100000,add-500000,add-1000000
231,16,101,513,1102,8716,20729,210665,589593,21,114,702,1200,7978,18361,157813,426775
232,12,99,758,1147,8492,20745,198882,597987,13,139,752,1219,8110,18641,159700,440322
233,11,114,566,1199,8379,20692,196193,603864,13,391,569,1443,7872,17677,142594,439613
234,11,96,478,1288,8564,21199,212236,581264,12,113,565,1531,7843,19783,156433,416755
235,11,96,487,1120,8566,21013,199083,607677,13,112,560,1185,8218,18781,156665,415911
236,12,98,538,1198,8455,20659,204806,583709,13,111,583,1362,7889,18462,150630,427017
237,11,94,487,1145,8928,20373,208390,593601,13,110,594,1158,8583,18157,143980,437597
238,14,92,480,1411,8547,20721,205591,583275,17,110,559,1354,8265,18000,144217,426968
239,10,100,501,1137,8699,20499,202072,596007,12,116,584,1204,7841,18460,154807,427738
240,11,96,508,1086,8404,20778,210032,607550,12,117,591,1160,8272,18632,156219,433730
241,11,94,480,1076,8868,20540,208357,594564,12,111,551,1168,8051,18682,148474,434290
242,20,94,496,1103,8869,21050,202322,596822,82,116,553,1172,8398,19036,149035,434284
243,10,136,508,1082,8612,20574,208875,616344,12,335,563,1168,7881,19315,149630,444920
244,12,123,485,1216,8524,20378,202400,584366,13,117,554,1237,8612,17709,148388,426512
245,12,93,494,1382,8360,20632,201968,583601,23,109,569,1212,7671,18306,146680,420507
246,11,94,639,1256,8900,20231,200621,595440,12,114,566,1191,8167,18306,149677,432364
247,11,96,739,1123,8571,20500,206447,581777,12,112,760,1224,8032,18493,142602,420549
248,11,95,541,1136,8430,20582,201891,619004,13,118,639,1282,7740,19124,149818,425720
249,11,96,506,1420,8773,19900,209673,581907,13,117,571,1537,8715,19330,157348,418193
