repeat,lookup-100,add-100,lookup-1000,add-1000,lookup-10000,add-10000,lookup-100000,add-100000,lookup-1000000,add-1000000,lookup-10000000,add-10000000
122,16035,17195,17890,19194,19340,18220,19998,18642,19641,20481,25061,25202
123,16237,17765,16525,18716,18912,18448,19385,18584,19833,21116,24726,26091
124,16323,16805,17263,18685,18300,19168,19327,19240,20501,21114,25502,26432
125,17716,17771,17545,19479,19613,19174,21683,19237,21801,20799,27331,26368
126,16766,15837,17846,20626,18721,20495,19195,19587,21624,22315,26277,25763
127,16157,16658,17606,17745,17872,19441,19022,19621,22059,22563,24689,25671
128,15819,17720,20641,17940,17989,20063,20493,19605,20920,21194,24409,26057
129,16147,17399,19180,18097,18247,19666,20245,21676,21348,21248,25173,25607
130,17115,16141,19848,19727,18776,20421,19511,20304,20955,21074,26092,27044
131,16453,16796,18967,20261,18771,20118,19004,20805,20595,20820,24820,25658
132,16606,18020,17136,18979,18852,19017,20170,20100,22412,22231,24329,25892
133,15878,17617,19406,20602,25803,19138,18929,21387,21047,21083,25293,26081
134,16585,17210,18071,19205,19197,20230,18970,20447,21330,20691,25960,25379
135,16839,16829,17973,19743,18879,19289,18670,21002,20709,21135,25965,27126
136,17021,16396,18134,18793,19611,19608,19398,19970,21109,20835,24654,26373
137,16169,17117,19585,19045,19314,19242,19325,20741,21134,20681,25427,26062
138,16696,17867,19437,19307,20928,19335,19725,22799,21638,21182,25862,25632
139,23202,19922,20577,21120,20181,19955,20086,20910,22311,23458,25741,24869
140,16834,21086,19434,18852,19091,19137,19306,20354,21987,21039,24868,28454
141,16990,18389,19647,18666,18898,20052,19259,20720,20859,21099,24903,26634
142,17566,17774,18635,18774,19264,20071,19881,20012,21254,21408,26135,25452
143,18032,16836,19368,19679,18817,20610,19724,20339,21982,20921,25255,25007
144,17202,17691,19434,19533,19592,20092,20220,19884,21554,23729,24908,25387
145,16795,17995,18759,19325,19393,20717,21383,21385,21082,21923,25291,27712
146,17530,19025,19837,21409,19011,22542,20159,20138,20909,21732,25206,26124
147,17162,18917,18880,20220,18592,21344,21344,19679,23408,22795,25879,25164
148,17332,18433,19358,22366,19085,21131,20700,19236,20293,22340,25484,25377
149,18541,17500,18304,20647,18998,21111,20646,20013,20786,21676,27548,26274
